,image_path,degrees
138,../data/raw/IMG_0212.PNG,141.0
139,../data/raw/IMG_6980.PNG,155.0
140,../data/raw/IMG_6940.PNG,340.0
141,../data/raw/IMG_6831.PNG,106.0
142,../data/raw/IMG_6952.PNG,342.0
143,../data/raw/IMG_6875.PNG,14.0
144,../data/raw/IMG_6861.PNG,80.0
145,../data/raw/IMG_6929.PNG,35.0
146,../data/raw/IMG_3298.PNG,167.0
147,../data/raw/IMG_6860.PNG,262.0
148,../data/raw/IMG_6876.PNG,150.0
149,../data/raw/IMG_6877.PNG,151.0
150,../data/raw/IMG_6864.PNG,189.0
151,../data/raw/IMG_6939.PNG,183.0
152,../data/raw/IMG_6859.PNG,174.0
